TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"ContainerJobName_s","_timestamp_d","ContainerGroupName_s","time_t [UTC]","ContainerImage_s",Category,"ContainerGroupId_g","ContainerId_g","ContainerName_s","Stream_s","RevisionName_s","ContainerAppName_s","EnvironmentName_s","Log_s",Type,"_ResourceId"
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:46:48.847 PM",,,"rpa-metrics","1766090807.85019","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:46:47.676 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:46:47,676 INFO src.automation.robot - Found 1 system alert(s) to dismiss.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:46:48.847 PM",,,"rpa-metrics","1766090807.8502","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:46:47.731 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:46:47,731 INFO src.automation.robot - Clicked system alert dismiss button.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:47:10.671 PM",,,"rpa-metrics","1766090829.86518","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:47:09.545 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:47:09,545 WARNING src.automation.robot - Standard click on Filter button failed; retrying with JS.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:47:10.671 PM",,,"rpa-metrics","1766090829.86518","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:47:09.826 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:47:09,826 INFO src.automation.robot - Tag 1A40D030000701D000008911 attempt 1: row count 1","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:47:10.671 PM",,,"rpa-metrics","1766090829.86518","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:47:09.833 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:47:09,832 INFO src.automation.robot - Applying Tag equals filter for 1A40D030000701D000008912","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:47:43.758 PM",,,"rpa-metrics","1766090862.88802","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:47:42.857 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:47:42,857 WARNING src.automation.robot - Keyboard navigation to Filter failed; falling back to mouse interaction.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:47:53.748 PM",,,"rpa-metrics","1766090873.39569","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:47:53.122 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:47:53,121 WARNING src.automation.robot - Standard fill failed for tag filter input; retrying with JS.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:47:59.915 PM",,,"rpa-metrics","1766090878.90363","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:47:58.415 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:47:58,414 INFO src.automation.robot - Applying Tag equals filter for 1A40D030000701D000008913","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:49:31.703 PM",,,"rpa-metrics","1766090970.98218","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:49:30.763 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:49:30,762 WARNING src.automation.robot - Standard fill failed for tag filter input; retrying with JS.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:50:09.823 PM",,,"rpa-metrics","1766091009.51233","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:50:09.330 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:50:09,330 WARNING src.automation.robot - Keyboard navigation to Filter failed; falling back to mouse interaction.","ContainerAppConsoleLogs_CL",
